NO_OF_FRAMES	919
NO_OF_DATA_TYPES	1
FREQUENCY	200
TIME_STAMP	2022-06-21, 12:21:53
DATA_INCLUDED	Angle
DATA_TYPES	R_knee_angle

Frame	Time	R_knee_angle	
813	4.06000	159.570
814	4.06500	159.718
815	4.07000	159.846
816	4.07500	160.008
817	4.08000	160.093
818	4.08500	160.231
819	4.09000	160.366
820	4.09500	160.546
821	4.10000	160.766
822	4.10500	160.999
823	4.11000	161.324
824	4.11500	161.872
825	4.12000	162.238
826	4.12500	162.620
827	4.13000	162.978
828	4.13500	163.073
829	4.14000	163.035
830	4.14500	163.306
831	4.15000	163.612
832	4.15500	163.790
833	4.16000	163.878
834	4.16500	163.953
835	4.17000	164.040
836	4.17500	164.121
837	4.18000	164.208
838	4.18500	164.284
839	4.19000	164.351
840	4.19500	164.407
841	4.20000	164.451
842	4.20500	164.407
843	4.21000	164.404
844	4.21500	164.398
845	4.22000	164.374
846	4.22500	164.328
847	4.23000	164.286
848	4.23500	164.227
849	4.24000	164.183
850	4.24500	164.142
851	4.25000	164.111
852	4.25500	164.065
853	4.26000	164.030
854	4.26500	163.977
855	4.27000	163.934
856	4.27500	163.884
857	4.28000	163.788
858	4.28500	163.694
859	4.29000	163.571
860	4.29500	163.479
861	4.30000	163.753
862	4.30500	163.578
863	4.31000	163.495
864	4.31500	163.392
865	4.32000	163.279
866	4.32500	163.025
867	4.33000	162.855
868	4.33500	162.687
869	4.34000	162.506
870	4.34500	162.296
871	4.35000	162.092
872	4.35500	161.869
873	4.36000	161.629
874	4.36500	161.398
875	4.37000	161.138
876	4.37500	160.974
877	4.38000	160.675
878	4.38500	160.392
879	4.39000	160.139
880	4.39500	159.591
881	4.40000	159.230
882	4.40500	158.839
883	4.41000	158.433
884	4.41500	158.024
885	4.42000	157.606
886	4.42500	157.167
887	4.43000	156.756
888	4.43500	156.342
889	4.44000	155.923
890	4.44500	155.488
891	4.45000	155.073
892	4.45500	154.609
893	4.46000	154.098
894	4.46500	153.540
895	4.47000	152.968
896	4.47500	152.381
897	4.48000	151.769
898	4.48500	151.121
899	4.49000	150.472
900	4.49500	149.798
901	4.50000	149.022
902	4.50500	148.223
903	4.51000	147.370
904	4.51500	146.472
905	4.52000	145.534
906	4.52500	144.577
907	4.53000	143.532
908	4.53500	142.578
909	4.54000	141.491
910	4.54500	140.434
911	4.55000	139.434
912	4.55500	138.352
913	4.56000	137.273
914	4.56500	136.199
915	4.57000	135.173
916	4.57500	134.107
917	4.58000	133.015
918	4.58500	131.903
919	4.59000	130.804
